event_id,truth_class,component_id,area_km2,preclip_area_km2,domain_status,retained_at_15000,centroid_lon,centroid_lat,min_lon,min_lat,max_lon,max_lat,artifact_method
20260524_19Z_F04,Medium,11,14926.756756917252,14926.756756917248,inside,False,-81.76578697558404,37.82159574468428,-82.37000136093658,36.82000000000362,-81.07000139808551,38.8700000000032,legacy independent-max frozen truth
20260524_19Z_F06,Sparse,1,0.0,20018.753012611494,outside,False,-98.68827820554827,24.629243697482412,-99.77000086371251,24.02000000000332,-97.7700009208647,25.320000000003525,legacy independent-max frozen truth
20260524_19Z_F06,Sparse,2,25147.16922582919,25147.16922582918,inside,True,-98.04494904578769,32.383848547722245,-98.97000088657339,31.570000000004505,-96.87000094658319,33.270000000004316,legacy independent-max frozen truth
20260524_19Z_F06,Sparse,3,0.0,9815.83932791586,outside,False,-100.2833242023371,50.83332335329425,-100.9700008294212,50.070000000000974,-99.57000086942773,51.62000000000067,legacy independent-max frozen truth
20260524_19Z_F06,Sparse,4,22592.00533722741,22592.005337227423,inside,True,-96.63366894538433,43.51582504970408,-97.8200009194359,42.4200000000025,-95.32000099087614,44.47000000000209,legacy independent-max frozen truth
20260524_19Z_F06,Sparse,5,18043.62582095215,18043.62582095215,inside,True,-93.86794581764623,44.37628834356038,-94.87000100373538,43.67000000000225,-92.87000106088757,45.020000000001986,legacy independent-max frozen truth
20260524_19Z_F06,Sparse,6,23112.2532517163,23112.253251716305,inside,True,-85.05442657158255,30.651609195406675,-86.07000125520503,29.770000000004224,-83.97000131521483,31.370000000004474,legacy independent-max frozen truth
20260524_19Z_F06,Sparse,7,51656.714782866264,51656.714782866205,inside,True,-82.97672445116862,33.62707171315167,-84.82000129092515,31.82000000000454,-81.72000137951105,35.3700000000039,legacy independent-max frozen truth
20260524_19Z_F06,Sparse,8,11326.847264930979,11326.84726493098,inside,False,-82.54238852940716,29.365902612830762,-83.12000133950451,28.770000000004067,-81.97000137236702,29.970000000004255,legacy independent-max frozen truth
20260524_19Z_F06,Sparse,9,26162.766841550732,26162.76684155073,inside,True,-80.82048977730847,38.10397674418939,-81.72000137951105,36.77000000000362,-79.97000142951921,39.3700000000031,legacy independent-max frozen truth
20260524_19Z_F06,Medium,1,0.0,7119.797503468097,outside,False,-98.45130011399424,24.6621259842554,-98.92000088800219,24.220000000003353,-97.97000091514948,25.120000000003493,legacy independent-max frozen truth
20260524_19Z_F06,Medium,2,14003.79145754702,14003.791457547017,inside,False,-98.10347390947322,32.413994413412304,-98.8200008908598,31.770000000004536,-97.27000093515275,33.12000000000435,legacy independent-max frozen truth
20260524_19Z_F06,Medium,3,0.0,1938.7098828376395,outside,False,-100.28894024282266,50.85813131313213,-100.72000083656522,50.570000000000874,-99.9200008594261,51.170000000000755,legacy independent-max frozen truth
20260524_19Z_F06,Medium,4,2889.9936214403774,2889.9936214403783,inside,False,-97.11492281458425,43.18718750000235,-97.47000092943753,42.82000000000242,-96.7700009494408,43.520000000002284,legacy independent-max frozen truth
20260524_19Z_F06,Medium,5,4107.103711925164,4107.103711925165,inside,False,-96.10369662065504,43.88086956521959,-96.62000095372721,43.57000000000227,-95.6700009808745,44.27000000000213,legacy independent-max frozen truth
20260524_19Z_F06,Medium,6,9639.669115251061,9639.66911525106,inside,False,-93.82925390703905,44.32936781609407,-94.6200010108794,43.820000000002224,-93.12000105374355,44.77000000000203,legacy independent-max frozen truth
20260524_19Z_F06,Medium,7,8375.897473653007,8375.897473653007,inside,False,-85.03833461801936,30.559285714290056,-85.62000126806427,30.02000000000426,-84.42000130235559,31.020000000004416,legacy independent-max frozen truth
