event_id,source_feature_number,feat_type,coverage_code,threshold_km2,verification_fraction,category,artifact_method,current_15000_fraction,fraction_difference_from_15000,current_15000_category,category_changed_from_15000
20260403_21Z_F04,4,AREA,3,15000,0.7206270320271837,Verified Well,legacy independent-max frozen truth,0.7206270320271837,0.0,Verified Well,False
20260403_21Z_F04,5,AREA,3,15000,0.25917103850122736,Verified Close,legacy independent-max frozen truth,0.25917103850122736,0.0,Verified Close,False
20260403_21Z_F04,6,AREA,3,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260403_21Z_F04,7,LINE,1,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_13Z_F04,1,AREA,3,15000,0.46338490562498713,Verified Close,legacy independent-max frozen truth,0.46338490562498713,0.0,Verified Close,False
20260524_13Z_F04,2,AREA,3,15000,0.06282626539999075,Overforecasted,legacy independent-max frozen truth,0.06282626539999075,0.0,Overforecasted,False
20260524_13Z_F04,3,AREA,3,15000,0.0585875242931264,Overforecasted,legacy independent-max frozen truth,0.0585875242931264,0.0,Overforecasted,False
20260524_13Z_F04,4,AREA,3,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_13Z_F04,5,AREA,3,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_13Z_F04,6,AREA,3,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_19Z_F04,1,AREA,3,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_19Z_F04,2,AREA,3,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_19Z_F04,3,AREA,3,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_19Z_F04,4,AREA,3,15000,0.6988120778071458,Verified Well,legacy independent-max frozen truth,0.6988120778071458,0.0,Verified Well,False
20260524_19Z_F04,5,AREA,3,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
