event_id,feature,feat_type,coverage_code,verification_category,interior_available_cell_count,valid_cell_count,minimum,median,mean,p75,p90,p95,maximum,current_reported_echo_top_kft,current_small_sample_result_kft,artifact_method
20260524_19Z_F04,9,AREA,3,Verified Well,1098,249,25.07546043395996,30.347768783569336,32.262303999628884,34.99671936035156,42.650917053222656,44.07217941284179,55.77427673339844,42.650917053222656,42.650917053222656,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F04,10,AREA,3,Verified Close,1845,303,25.154199600219727,32.80839920043945,34.53501980847651,36.75196838378906,42.650917053222656,45.931758880615234,52.493438720703125,42.650917053222656,42.650917053222656,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F04,11,AREA,3,Verified Close,2064,187,25.01640510559082,36.08924102783203,38.23624192712141,45.931758880615234,49.21260070800781,52.493438720703125,62.335960388183594,49.21260070800781,49.21260070800781,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F04,12,AREA,3,Overforecasted,1773,48,31.167980194091797,41.010498046875,40.8102308511734,42.650917053222656,45.931758880615234,47.5908800125122,49.21260070800781,45.931758880615234,45.931758880615234,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F06,1,AREA,3,Overforecasted,486,0,,,,,,,,,,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F06,2,AREA,3,Verified Close,592,104,28.70734977722168,45.931758880615234,44.3259454873892,49.21260070800781,52.4176513671875,53.567092895507805,55.77427673339844,52.41765213012695,52.4176513671875,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F06,3,AREA,3,Verified Well,676,140,25.154199600219727,35.99737739562988,36.168518447875975,39.370079040527344,42.650917053222656,45.931758880615234,49.21260070800781,42.650917053222656,42.650917053222656,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F06,4,AREA,3,Overforecasted,373,0,,,,,,,,,,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F06,5,AREA,3,Overforecasted,341,9,42.650917053222656,49.21260070800781,48.665791829427086,50.85301971435547,55.77427673339844,55.77427673339844,55.77427673339844,55.77427673339844,55.77427673339844,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F06,6,AREA,3,Verified Close,2377,388,25.01640510559082,31.167980194091797,33.510414315253186,36.5141077041626,42.650917053222656,49.21260070800781,59.055118560791016,42.650917053222656,42.650917053222656,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F06,7,AREA,3,Overforecasted,625,5,32.80839920043945,41.338584899902344,40.68504104614258,42.10301971435547,46.368768310546876,47.79068450927734,49.21260070800781,,,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F06,8,AREA,3,Verified Well,1102,292,25.01640510559082,29.527559280395508,30.522788766312274,32.80839920043945,36.08924102783203,39.370079040527344,45.931758880615234,36.08924102783203,36.08924102783203,legacy independent temporal-max max_tops/max_refl
20260524_19Z_F06,9,AREA,3,Overforecasted,548,0,,,,,,,,,,legacy independent temporal-max max_tops/max_refl
20260728_19Z_F04,1,AREA,3,Overforecasted,1020,3,36.08924102783203,42.650917053222656,40.46369171142578,42.650917053222656,42.650917053222656,42.650917053222656,42.650917053222656,,,legacy independent temporal-max max_tops/max_refl
20260728_19Z_F04,2,AREA,3,Overforecasted,379,0,,,,,,,,,,legacy independent temporal-max max_tops/max_refl
20260728_19Z_F04,3,AREA,3,Overforecasted,608,57,30.347768783569336,39.370079040527344,38.66222311321058,42.650917053222656,43.963253784179685,45.931758880615234,45.931758880615234,43.963253021240234,43.963253784179685,legacy independent temporal-max max_tops/max_refl
20260728_19Z_F04,4,AREA,3,Overforecasted,13298,1072,26.246719360351562,49.21260070800781,48.95093354360381,55.77427673339844,59.055118560791016,62.335960388183594,62.335960388183594,59.055118560791016,59.055118560791016,legacy independent temporal-max max_tops/max_refl
20260728_19Z_F04,5,AREA,3,Overforecasted,1680,35,25.426509857177734,39.370079040527344,39.187570626395086,44.70144462585449,45.931758880615234,45.931758880615234,47.0242805480957,45.931758880615234,45.931758880615234,legacy independent temporal-max max_tops/max_refl
20260728_19Z_F04,6,AREA,3,Overforecasted,1752,2,30.935039520263672,35.15255928039551,35.15255928039551,37.261319160461426,38.52657508850098,38.94832706451416,39.370079040527344,,,legacy independent temporal-max max_tops/max_refl
20260728_19Z_F04,7,AREA,3,Overforecasted,506,1,42.650917053222656,42.650917053222656,42.650917053222656,42.650917053222656,42.650917053222656,42.650917053222656,42.650917053222656,,,legacy independent temporal-max max_tops/max_refl
20260728_19Z_F04,8,AREA,2,Overforecasted,625,90,34.99671936035156,53.641733169555664,53.28889702690972,59.055118560791016,62.335960388183594,62.335960388183594,62.335960388183594,62.335960388183594,62.335960388183594,legacy independent temporal-max max_tops/max_refl
20260728_19Z_F04,9,AREA,3,Overforecasted,185,0,,,,,,,,,,legacy independent temporal-max max_tops/max_refl
20260728_19Z_F04,10,AREA,3,Verified Close,10733,1307,25.01640510559082,34.44881820678711,35.183285629284136,39.757219314575195,45.931758880615234,49.21260070800781,56.47637939453125,45.931758880615234,45.931758880615234,legacy independent temporal-max max_tops/max_refl
20260728_19Z_F04,11,AREA,2,Verified Well,1033,324,26.246719360351562,41.291011810302734,40.75865400573354,45.931758880615234,49.21260070800781,49.21260070800781,55.77427673339844,49.21260070800781,49.21260070800781,legacy independent temporal-max max_tops/max_refl
20260728_19Z_F04,12,AREA,3,Verified Close,3517,428,26.246719360351562,45.931758880615234,45.92925994641313,52.493438720703125,55.77427673339844,59.055118560791016,62.335960388183594,55.77427673339844,55.77427673339844,legacy independent temporal-max max_tops/max_refl
20260728_19Z_F04,13,AREA,2,Overforecasted,1409,263,29.527559280395508,45.931758880615234,45.549235420082006,49.486549377441406,52.493438720703125,55.77427673339844,62.335960388183594,52.493438720703125,52.493438720703125,legacy independent temporal-max max_tops/max_refl
