event_id,component_id,truth_class,area_km2,preclip_area_km2,domain_status,retained_at_15000,capture_fraction,current_miss,sparse_area_capture,medium_area_capture,solid_line_capture,sparse_area_unique_capture,medium_area_unique_capture,solid_line_unique_capture,retained_medium_core_fraction,nearest_forecast_class,nearest_forecast_distance_km,artccs,min_lon,min_lat,max_lon,max_lat,artifact_method,report_label
20260524_13Z_F04,8,Sparse,14250.959416633534,14250.95941663354,inside,False,0.1791838285415672,False,0.1791838285415672,0.0,0.0,0.1791838285415672,0.0,0.0,0.0,Sparse AREA,0.0,ZAU/ZMP/ZOB,-85.3200012766371,42.22000000000254,-84.12000131092842,44.020000000002184,legacy independent-max frozen truth,
20260524_13Z_F04,9,Sparse,8055.860184982432,8055.860184982432,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,235.99464456113492,ZJX,-83.2200013366469,29.420000000004165,-82.220001365223,30.420000000004322,legacy independent-max frozen truth,
20260524_13Z_F04,10,Sparse,2855.974457922889,2855.9744579228886,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,296.58739387215695,ZID,-84.2200013080708,38.22000000000334,-83.67000132378766,38.82000000000322,legacy independent-max frozen truth,
20260524_13Z_F04,11,Sparse,1153.6816556929832,1153.681655692983,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,327.75245575190337,ZID,-82.82000134807734,38.77000000000322,-82.42000135950778,39.27000000000312,legacy independent-max frozen truth,
20260524_13Z_F04,12,Sparse,4484.465794952022,4484.465794952025,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,188.29325903018974,ZJX/ZMA,-80.67000140951595,28.520000000004025,-80.02000142809041,29.32000000000415,legacy independent-max frozen truth,
20260524_13Z_F04,13,Sparse,24829.59393562616,24829.593935626137,inside,True,0.07766381049192758,True,0.07766381049192758,0.0,0.0,0.07766381049192758,0.0,0.0,0.0,Sparse AREA,0.0,ZJX,-81.1200013966567,31.520000000004494,-79.17000145238009,33.620000000004254,legacy independent-max frozen truth,ZJX - Missed (Area M2)
20260524_13Z_F04,14,Sparse,7312.043416004934,7312.043416004934,inside,False,0.3586250444670836,False,0.3586250444670836,0.0,0.0,0.3586250444670836,0.0,0.0,0.0,Sparse AREA,0.0,ZDC/ZNY,-77.0200015138187,33.32000000000431,-76.07000154096599,34.420000000004094,legacy independent-max frozen truth,
20260524_13Z_F04,15,Sparse,16381.28370919836,16381.283709198358,inside,True,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,23.94980397575045,ZDC,-77.27000150667467,34.67000000000404,-75.22000156525567,36.120000000003756,legacy independent-max frozen truth,ZDC - Missed (Area M1)
20260524_19Z_F04,2,Sparse,1862.785505813419,1862.7855058134187,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,916.3874171519725,ZAB,-110.87000054651784,31.420000000004478,-110.57000055509067,32.22000000000453,legacy independent-max frozen truth,
20260524_19Z_F04,5,Sparse,26.72745745470676,26.727457454706755,inside,False,0.9999999999999999,False,0.9999999999999999,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,Sparse AREA,0.0,ZHU,-99.37000087514295,30.02000000000426,-99.32000087657175,30.07000000000427,legacy independent-max frozen truth,
